bank_txn_id,value_date,narration,credit_paise,debit_paise,balance_paise
btxn_4lHcgbwtuRjc,2026-08-28,NEFT-SBINN41658789731-RAZORPAY SOFTWARE PVT LTD,2804709,0,241697585
btxn_mLObqUjql8dS,2026-08-28,UPI/CR/ICICN60361725745/RZPY/SETTLEMENT,1478884,0,243176469
btxn_WiHVHWEicu0m,2026-08-29,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE-KKBKN22337435949,334700,0,243511169
btxn_vxJrt6J5YQDv,2026-08-29,NEFT-UTIBN26006414176-RAZORPAY SOFTWARE PVT LTD,339000,0,243850169
btxn_LmQBIlzI0wMu,2026-08-31,UPI/CR/UTIBN99157485272/RZPY/SETTLEMENT,274800,0,244124969
btxn_SDqoaFYK8zAZ,2026-08-31,ICICN17496796030 RZP SETTLE,2076926,0,246201895
btxn_fM6BGPZeOfXq,2026-08-31,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE-SBINN51365044471,1887512,0,248089407
btxn_qutgkm9Mdgnq,2026-08-31,IMPS/HDFCN86893794967/RAZORPAYSOFT/,243514,0,248332921
btxn_2NsuLMF9Tv2y,2026-09-01,NEFT-ICICN25086114468-RAZORPAY SOFTWARE PVT LTD,468970,0,248801891
btxn_Su6ovquGXZAv,2026-09-01,IMPS/UTIBN38198093291/RAZORPAYSOFT/,9987153,0,258789044
btxn_rPs5Pqia3GVJ,2026-09-01,IMPS/KKBKN91544471653/RAZORPAYSOFT/,219741,0,259008785
btxn_xfrYPywBjjDq,2026-09-01,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE-UTIBN68777077838,444848,0,259453633
btxn_54PxtVlzh9Sf,2026-09-02,CHARGEBACK DR-DSPMBQUJL4J-RAZORPAY SOFTWARE,0,18200,259435433
btxn_B6sh7f67sZ1X,2026-09-02,KKBKN15750222234 RZP SETTLE,434592,0,259870025
btxn_FEq4SgXeZrmH,2026-09-02,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE-SBINN54581245015,2300435,0,262170460
btxn_K2EISpEvAfKW,2026-09-02,SBINN72495552246 RZP SETTLE,4374210,0,266544670
btxn_Sm2LjNXA3Z6J,2026-09-02,DISPUTE DEBIT/DSPR3VCG84M/RZPY,0,10900,266533770
btxn_kXkdJqqL0YHd,2026-09-02,ICICN76614582508 RZP SETTLE,618549,0,267152319
btxn_4rR5GXrEtIp6,2026-09-03,SBINN42973656751 RZP SETTLE,7286197,0,274438516
btxn_CyiG4SGMMlt2,2026-09-03,IMPS/SBINN16109417746/RAZORPAYSOFT/,808850,0,275247366
