payment_id,order_id,captured_at,method,international,gross_paise,fee_paise,gst_paise,net_paise,status,settlement_id,refund_id,refund_paise
pay_8uP9P4rwDaQTaz,order_bV7RzjKzYgWpKE,2026-08-31T22:01:00,wallet,False,445096,8902,1602,434592,captured,setl_s305hPf1mFh6ug,,0
pay_92brl38QUk5DZz,order_qdCw1LrSlLql57,2026-08-28T09:12:00,netbanking,False,231100,4391,790,225919,captured,setl_d0pxD013eJfLlX,,0
pay_9VBgpuoavqY4u9,order_md2JtxyGF7ib7t,2026-08-07T11:27:00,upi,False,26500,0,0,26500,captured,setl_Y3MfcCpw08Rkx3,,0
pay_9n3GgCr4PBFDVo,order_eZNfjSGwFyRG4B,2026-08-29T12:54:00,rupay_debit,False,267300,0,0,267300,captured,setl_TCjCMUYS2cgUw7,,0
pay_9oYb9ALbdh5cB6,order_i2IdelaRhgYObv,2026-08-08T18:16:00,upi,False,166400,0,0,166400,captured,setl_Y3MfcCpw08Rkx3,,0
pay_AGWx0849wTKQEj,order_QnFSPz2J0ipog6,2026-08-08T12:16:00,upi,False,161800,0,0,161800,captured,setl_Y3MfcCpw08Rkx3,,0
pay_AImaryrzR4MnSI,order_qQElfcAg1zPw0z,2026-08-06T15:13:00,upi,False,933800,0,0,933800,captured,setl_EdZ7XptdbRQNPS,,0
pay_AagFyzJu0qIDGi,order_Uhexr3cwJSPsFz,2026-08-19T11:56:00,netbanking,False,9478000,180082,32415,9265503,captured,setl_ajnwbMTAKX6GYx,,0
pay_AdZInMjl7Vspzv,order_An6LrPtIKcIFhE,2026-08-29T17:58:00,upi,False,11500,0,0,11500,captured,setl_UGhpzAOBoqIOI8,,0
pay_Aec9b8jkpwedCh,order_440cU9EMQeriCu,2026-08-14T21:59:00,upi,False,151600,0,0,151600,captured,setl_QHelNGrAfNpm6i,,0
pay_BjSMwesfHSKQ0W,order_8bWuPkuYW0CW3E,2026-08-25T15:15:00,upi,False,74200,0,0,74200,captured,setl_z4HZt6gN7jgb96,,0
pay_CfpDMyQXAGd5bL,order_imU90srrqGkY8W,2026-08-23T20:56:00,card,False,964419,19288,3472,941659,captured,setl_obuThoBpZlMaHQ,,0
pay_D39mQ2Ycf0iMWD,order_C76zygv9hkCoRg,2026-08-06T15:18:00,card,False,760800,15216,2739,742845,captured,setl_atYK89mEZEQpT1,,0
pay_DT5o8LYuH5lgru,order_McmO9BMxcdpM2h,2026-08-20T13:29:00,wallet,False,18900,378,68,18454,captured,setl_MvbrtGCqTtuNF0,,0
pay_DzNPNku2e3LWs4,order_LgxREiyk5EMmrq,2026-08-08T16:23:00,upi,False,44600,0,0,0,authorized,,,0
pay_EAN97XbtyCRPfO,order_lIZZVAD4vOoQNu,2026-08-12T12:06:00,card,False,210200,4204,757,205239,captured,,,0
pay_EDmTPpOoo1apHJ,order_ehllMRmgtm6Dng,2026-08-23T10:39:00,upi,False,244400,0,0,244400,captured,setl_WUE94O6DcYLRgr,,0
pay_EKjjzCLrXYBvPe,order_5TZB5D9HLioBY5,2026-08-29T11:10:00,upi,False,32100,0,0,32100,captured,setl_UGhpzAOBoqIOI8,,0
pay_EWIwRcrnAPz0Eg,order_Scohm4SptGFX1n,2026-08-10T21:39:00,card,False,557000,11140,2005,543855,captured,setl_PmWWAxalZ69Pey,,0
pay_EcsMlcyrcPiKDa,order_222qbxFYAiycE5,2026-08-06T09:14:00,card,False,327000,6540,1177,319283,captured,setl_atYK89mEZEQpT1,,0
pay_EwRsCeAwl0uAXw,order_1s0lnk2flkzYtC,2026-08-23T21:07:00,upi,False,1157900,0,0,1157900,captured,setl_WUE94O6DcYLRgr,,0
pay_FFYE3E3azZcPOq,order_zJL4phMxFmTrEg,2026-08-24T16:23:00,card,False,5056100,101122,18202,4936776,captured,setl_4NHQeurUMLUdZU,,0
pay_FUlLPxIJMvUlz0,order_EI4xFIZDp53jwb,,wallet,False,20300,0,0,0,failed,,,0
pay_FxdmywmNzroMid,order_ly9KEIH6f2CTob,2026-08-08T22:17:00,upi,False,68000,0,0,68000,captured,setl_Y3MfcCpw08Rkx3,,0
pay_G2XBDQjt1wUig0,order_ZQ3VrVBFQcpbWY,2026-08-24T10:47:00,upi,False,13050,0,0,13050,captured,setl_ZcE8RtDQlAvOuI,,0
pay_GPOO5KDntUJkqS,order_VlZIse5Ad6oTGu,2026-08-05T17:52:00,upi,False,217828,0,0,217828,captured,setl_0NMkmxBhytQzNW,,0
pay_HMgci3PBiMx7KN,order_0eOrUQU7WcCd6L,2026-08-12T21:08:00,upi,False,188000,0,0,188000,captured,setl_DxIUaLPjvGKHD8,,0
pay_ID34Mk3aFLLUEC,order_70e8XRB7Hjtxvt,2026-08-10T15:01:00,rupay_debit,False,449000,0,0,449000,captured,setl_LnV4y2jS2ZtS2k,,0
pay_IJIhT975V7hfid,order_ibkTpOkCkaRQE8,2026-08-10T17:46:00,upi,False,157500,0,0,157500,captured,setl_FInLvbMDGvzm8C,,0
pay_IquivdiOKPjnYT,order_kKUchIh7nI6OfV,2026-08-18T16:23:00,upi,False,293927,0,0,293927,captured,setl_ZT76A8FOzt96vh,,0
pay_IulIZvD8t50gwI,order_gwIIlRw6BzWam3,2026-08-20T10:57:00,upi,False,45000,0,0,45000,captured,setl_djyrofTxLrUnhM,,0
pay_IwbHnFWejaeJSw,order_4SjeRq9kAzY1nT,2026-08-29T14:11:00,upi,False,244500,0,0,244500,captured,setl_UGhpzAOBoqIOI8,,0
pay_JyComiSYmp6w0Z,order_tVzPhZGrkCC4DK,2026-08-23T22:54:00,card,False,222900,4458,802,217640,captured,setl_obuThoBpZlMaHQ,,0
pay_KGS7gGGAyKqbRO,order_o8rbzfuh13ZuI7,2026-08-08T20:52:00,card,True,13804400,414132,74544,13315724,captured,setl_hiSUotqWr1EFET,,0
pay_KUw3aO9NyVpjXM,order_CYB9pOx99U1HS5,2026-08-12T22:39:00,rupay_debit,False,92400,0,0,92400,captured,setl_AqvJ2zeC6zcgEy,,0
pay_KcZsYp4SmxAITG,order_4NC2V4Eh1yTi9j,2026-08-18T19:08:00,wallet,False,121700,2434,438,118828,captured,setl_HXSoIA72aYpe6t,,0
pay_LsN3inCMSGN3oD,order_CsqSHRPR0UmdS9,2026-08-12T21:43:00,rupay_debit,False,136400,0,0,136400,captured,,,0
pay_N1MgO6sBVdKVIw,order_L97P3wUOec6ih2,2026-08-06T17:44:00,upi,False,225500,0,0,225500,captured,setl_EdZ7XptdbRQNPS,,0
pay_Nr3TuVKA3FRcJj,order_vsF5S7BpNWWHcN,,wallet,False,9200,0,0,0,failed,,,0
pay_NtGf0dXaGl1Hb6,order_pylzh1AeXHNMOQ,2026-08-24T20:10:00,upi,False,763300,0,0,763300,captured,setl_ZcE8RtDQlAvOuI,,0
pay_Oc39ubd4PTymGD,order_j1NkXKCDWwL2JK,2026-08-09T20:26:00,card,False,715200,14304,2575,698321,captured,setl_hiSUotqWr1EFET,,0
pay_OzMms9vOlR116D,order_VyOqad40n6SYLT,2026-08-16T11:17:00,upi,False,295300,0,0,295300,captured,setl_QHelNGrAfNpm6i,,0
pay_P2M8b0ielSLetS,order_LhB8Co2T1LOuWe,2026-08-23T15:22:00,card,False,1786400,35728,6431,1744241,captured,setl_obuThoBpZlMaHQ,,0
pay_PRnm5LvQz2heua,order_NdywDCX8uHXc1i,2026-08-08T09:36:00,upi,False,27600,0,0,27600,captured,setl_Y3MfcCpw08Rkx3,,0
pay_Prz1CaoginUF6E,order_q3PZwMq2es140z,2026-08-06T22:47:00,rupay_debit,False,443100,0,0,443100,captured,setl_CDCePzhuDTIS1Z,,0
pay_Q3CS9ppHsqbWwR,order_U1oint0NvQM9MA,2026-08-24T21:17:00,upi,False,67500,0,0,67500,captured,setl_ZcE8RtDQlAvOuI,,0
pay_Q740eT2OY1GmX2,order_bHIp14UTELz23t,2026-08-22T20:15:00,card,False,6453880,129078,23234,6301568,captured,setl_obuThoBpZlMaHQ,,0
pay_QLOAicBqCQTmy4,order_zAROArxGV2LVA1,2026-08-18T20:31:00,upi,False,56300,0,0,56300,captured,setl_ZT76A8FOzt96vh,,0
pay_QNKjkYc5zQ28Od,order_8Dg7eUQNuMSKiC,2026-08-25T18:46:00,upi,False,37000,0,0,37000,captured,setl_z4HZt6gN7jgb96,,0
pay_QuekjevpQB69uM,order_aSwrKVNbVnxxGj,2026-08-05T09:27:00,rupay_debit,False,203700,0,0,203700,captured,setl_ZyE1vvtDUN0P4s,,0
pay_QvwAgeDpDuP0ZW,order_lmx0cBewZg96UF,2026-08-16T16:45:00,card,False,143200,2864,516,139820,captured,setl_nv3RFT3XxoF34G,,0
pay_RAj9BGKBueYEOM,order_XDjSaXwEc7Kfwz,2026-08-26T22:18:00,card,False,2754700,55094,9917,2689689,captured,setl_e1ExkcCzv5Bh8l,,0
pay_RDDawpmjK0Xzq2,order_1i1FhgIpw5PSHL,2026-08-12T22:02:00,upi,False,197300,0,0,197300,captured,setl_DxIUaLPjvGKHD8,,0
pay_RvnOb12ZNztlhG,order_2awbKOVEVkM2fZ,2026-08-12T13:15:00,card,False,77552,1551,279,75722,captured,setl_FLFrNh3I3X8A79,,0
pay_S1ccsUSru9gd4t,order_45EDEx1LYg4qKH,2026-08-30T13:04:00,wallet,False,26100,522,94,25484,captured,setl_BrhkijFXzINSa9,,0
pay_T8JrPXAp9Qo17o,order_CXQ0z1ttsaiO7Q,,upi,False,73900,0,0,0,failed,,,0
pay_Ty5DxJXTSEFTGA,order_NGgFJ9hvw664d4,2026-08-30T13:58:00,netbanking,False,7581900,144056,25930,7411914,captured,setl_MEc05xqAuGiQ5o,,0
pay_UDaXTGRlMZkc5n,order_VHwpipzbYdUiNM,2026-08-11T13:06:00,upi,False,214100,0,0,214100,captured,setl_sGQ9iwSPm9n9Mi,,0
pay_V08NI8EWo5LtGm,order_2eci9mtUoAn64Y,,upi,False,30100,0,0,0,failed,,,0
pay_WB5lpITcha274V,order_HLjHgMt3yLYx4N,2026-08-28T18:54:00,card,False,992200,19844,3572,968786,captured,setl_L5qp1pTf9snB38,,0
pay_WaVGFB4xAZ3Y5B,order_TdPnEWSIDY1JYK,2026-08-23T19:57:00,wallet,False,39000,780,140,38080,captured,setl_BFvqjwnUCfrSLT,,0
pay_XUGLF7E7lVagFU,order_1cGgscrssbmWib,2026-08-02T13:22:00,upi,False,1121500,0,0,1121500,captured,setl_VWrKB6LpV3nvLb,,0
pay_XjNyYtQ6o1ayZk,order_zlD09CwBbCvm6M,2026-08-31T15:40:00,upi,False,25570,0,0,25570,captured,setl_DY6gJyeEiUKdUV,,0
pay_XnISKGsx6zmtYs,order_xv3jcuHAgCoxSy,2026-08-11T10:27:00,upi,False,152800,0,0,152800,captured,setl_sGQ9iwSPm9n9Mi,,0
pay_Xuh2gA5Jow0thZ,order_u7afFO5XumZZJE,2026-08-22T19:05:00,netbanking,False,1956000,37164,6690,1912146,captured,setl_bM92adaccM5Vuy,,0
pay_Y1fxAFv51Tp4g8,order_oI4rUrLYWiYCPe,2026-08-20T19:40:00,upi,False,159500,0,0,159500,captured,setl_djyrofTxLrUnhM,,0
pay_YrMlwHkBlqMmye,order_gmsfub6apa2Csm,2026-08-19T16:43:00,upi,False,14200,0,0,14200,captured,setl_Hguc58YLFEsULi,,0
pay_YzgwWSZbaF0uZt,order_C0OHmwA2h3xULT,2026-08-11T19:54:00,upi,False,12500,0,0,12500,captured,setl_sGQ9iwSPm9n9Mi,,0
pay_ZQsahtNsjn3ove,order_ZJxqN9Zy8nHMsU,2026-08-19T22:12:00,upi,False,31743,0,0,31743,captured,setl_Hguc58YLFEsULi,,0
pay_ZVAV9iqkEUMAi4,order_7BlQ39MtZe3p9b,2026-08-17T16:51:00,wallet,False,38000,760,137,37103,captured,setl_tVYAjraYV7RznK,,0
pay_Zs55wJScholOe1,order_LKx1NOQjp5vYI8,2026-08-31T19:00:00,upi,False,146200,0,0,146200,captured,setl_DY6gJyeEiUKdUV,,0
pay_amFfPKnQt5HNyw,order_PzS2RXnEc9gz9m,2026-08-29T19:23:00,upi,False,51026,0,0,51026,captured,setl_UGhpzAOBoqIOI8,,0
pay_aoIaPpYDiTMVgJ,order_oBDH7jHUMYp6H8,2026-08-31T20:47:00,upi,False,297200,0,0,297200,captured,setl_DY6gJyeEiUKdUV,,0
pay_aqRYjDa2yQaQc8,order_NvqkxrTFBByOzi,2026-08-07T17:09:00,card,False,164600,3292,593,160715,captured,setl_hiSUotqWr1EFET,,0
pay_auiCh5xFaDLqjz,order_6ejch2OHtCcnVY,2026-08-28T10:55:00,card,True,3530400,105912,19064,3405424,captured,setl_L5qp1pTf9snB38,,0
pay_bLWpbyBPG8Jeob,order_HXLAxnc6P8z0Bh,2026-08-24T22:40:00,wallet,False,96900,1938,349,94613,captured,setl_hsKpdOtyUfAiT6,,0
pay_bZWVTqS2Qqk362,order_QwSqMWLBJXWPgg,2026-08-28T17:56:00,upi,False,290400,0,0,290400,captured,setl_nwxDDhE5bej4hR,,0
pay_bcL1UNrll0AZ1h,order_LsLJSD32hRlI1H,2026-08-05T22:49:00,card,False,522900,10458,1882,510560,captured,setl_8EzsIjvNEqHCOH,,0
pay_cVv7v2pnIMg3F5,order_s8J5Uz69qLAjON,2026-08-29T18:00:00,upi,False,12000,0,0,12000,captured,setl_UGhpzAOBoqIOI8,,0
pay_ccvRRH1a0JSEh9,order_jPTrwtvPLkXS1x,2026-08-07T15:33:00,upi,False,58900,0,0,58900,captured,setl_Y3MfcCpw08Rkx3,,0
pay_cv0P4AoWBb5B0o,order_7R6tZalZJN4QFP,2026-08-25T22:34:00,upi,False,58600,0,0,58600,captured,setl_z4HZt6gN7jgb96,,0
pay_dK41N1STIPcl5d,order_mNQsj2HovwVrfQ,2026-08-22T16:19:00,upi,False,176700,0,0,176700,captured,setl_WUE94O6DcYLRgr,,0
pay_dZet1Q81kGoY9B,order_ei3lWmOwizdp5Q,,upi,False,898500,0,0,0,failed,,,0
pay_dm42nLx5hWKykT,order_BRSFWqqSu398GE,2026-08-17T20:20:00,upi,False,23800,0,0,23800,captured,setl_khI2WEOWhIfy1Y,,0
pay_drTUpjf8bMKD82,order_OgLNTsFT07ObgZ,2026-08-29T09:57:00,upi,False,143500,0,0,143500,captured,setl_UGhpzAOBoqIOI8,,0
pay_dsaCarP76NNSyJ,order_646ECWTC8qRTxY,2026-08-07T13:24:00,upi,False,26900,0,0,26900,captured,setl_Y3MfcCpw08Rkx3,,0
pay_eK7lKBbwlnXSLl,order_VTtyS0EYEdWs21,2026-08-24T17:08:00,rupay_debit,False,475532,0,0,475532,captured,setl_vHJg40ELcR5Wy2,,0
pay_eW3my2VM0rrhEO,order_x7aTvi2rEinRAt,2026-08-16T22:59:00,wallet,False,6799,136,24,6639,captured,setl_rCGkSC9vA5IXnq,,0
pay_fCJzlwzOdJkiFt,order_PO8KmEdbAtcJD1,2026-08-09T16:19:00,upi,False,22100,0,0,22100,captured,setl_Y3MfcCpw08Rkx3,,0
pay_fCW7palVbDueya,order_LSehLoImZrd5Xp,2026-08-05T22:08:00,netbanking,False,7658600,145513,26192,7486895,captured,setl_LrrBAW4nNMMXTf,,0
pay_fDt2LEkziaMwY3,order_hM6qkS6mBBGwaY,2026-08-25T11:50:00,upi,False,217800,0,0,217800,captured,setl_z4HZt6gN7jgb96,,0
pay_feJxLYKn9vErJc,order_YI9iqkY2EMtxTe,2026-08-30T22:13:00,upi,False,193700,0,0,193700,captured,setl_UGhpzAOBoqIOI8,,0
pay_fgXRPgnhT1CF8r,order_Waj2ZwYyxMpGFX,2026-08-26T21:21:00,upi,False,71500,0,0,71500,captured,setl_z4HZt6gN7jgb96,,0
pay_g63wyuRwKE4PiC,order_xlXktOPlxUftVO,2026-08-19T16:27:00,card,False,4027250,80545,14498,3932207,captured,setl_sJ4w7QhgE77epF,,0
pay_gCKhMuorUysZNo,order_JrLG6znwQ9v5lh,2026-08-20T18:22:00,upi,False,18300,0,0,18300,captured,setl_djyrofTxLrUnhM,,0
pay_gfVVadi8IziTxz,order_vHjaJ2TmDBWcib,,upi,False,170900,0,0,0,failed,,,0
pay_gz0gOELtP1l3l5,order_9upe83hks9856K,2026-08-05T14:37:00,card,False,194700,3894,701,190105,captured,setl_8EzsIjvNEqHCOH,rfnd_kRChDgpC6zmwJT,190105
pay_hCZ7XUSpT3Cfao,order_FUIC2YcnQbghxF,2026-08-17T11:03:00,card,False,78700,1574,283,76843,captured,setl_GsiuZr77XOnN7I,,0
pay_hGKXUdsjRj3myc,order_tweYn86FpuaWp1,2026-08-26T11:54:00,upi,False,1092000,0,0,1092000,captured,setl_z4HZt6gN7jgb96,,0
pay_iIR4lfa8LlOuOd,order_VbEJ8imejLAN44,2026-08-18T11:40:00,upi,False,86509,0,0,86509,captured,setl_ZT76A8FOzt96vh,,0
pay_iWkw1gc8NSb9Wx,order_fCAo0bjuHBibOb,2026-08-12T10:52:00,upi,False,159660,0,0,159660,captured,setl_DxIUaLPjvGKHD8,,0
pay_ir86qMqp9ASDVA,order_o9tgLqCHTDI5Gt,2026-08-06T14:55:00,upi,False,239000,0,0,239000,captured,setl_EdZ7XptdbRQNPS,,0
pay_jDXXScl5LY1QmC,order_sHDJV9x32pm7gC,2026-08-07T15:17:00,upi,False,85100,0,0,85100,captured,setl_Y3MfcCpw08Rkx3,,0
pay_jRZKWG06rmWSwP,order_PfkJNpnlOniB0s,2026-08-17T17:21:00,wallet,False,45800,916,165,44719,captured,setl_tVYAjraYV7RznK,,0
pay_jaCSAyfZhRwF0p,order_nejPF99vlwvY3O,2026-08-16T18:11:00,upi,False,275883,0,0,275883,captured,setl_QHelNGrAfNpm6i,,0
pay_jqJN3yC6rsVRwt,order_pUjDB4iY8FNmCn,2026-08-08T22:51:00,upi,False,69000,0,0,69000,captured,setl_Y3MfcCpw08Rkx3,,0
pay_ke9azUiPASBXpW,order_ObbCBERFfhdzRc,2026-08-06T19:36:00,upi,False,20500,0,0,20500,captured,setl_EdZ7XptdbRQNPS,,0
pay_ko1vsM1Eh1x9PA,order_xJYjRtA8opOn3g,2026-08-02T22:45:00,upi,False,54800,0,0,54800,captured,setl_VWrKB6LpV3nvLb,,0
pay_kqjHYwfYDPEOaO,order_l4oOBOX8wrorqf,2026-08-13T22:24:00,upi,False,200300,0,0,200300,captured,setl_2GtbvmLXF1Flhp,,0
pay_kstYO9epzd309q,order_BzVFboPeM6fCip,2026-08-03T12:12:00,upi,False,159600,0,0,159600,captured,setl_UxHInzNavkQObD,,0
pay_lMJLq3WN3SFiUq,order_xWa43S5gciB66y,2026-08-19T16:53:00,upi,False,63300,0,0,63300,captured,setl_Hguc58YLFEsULi,,0
pay_lhRIFWE8FhzqR1,order_G22v1Z5c4so5pZ,2026-08-28T10:58:00,upi,False,48600,0,0,48600,captured,setl_nwxDDhE5bej4hR,,0
pay_li9QPj6e2LW9Fp,order_mphMmZZKWyUdPR,2026-08-06T17:41:00,netbanking,False,205300,3901,702,200697,captured,setl_4HSqDZHvYmBI4A,,0
pay_lk2wAwF6wCC8iH,order_8bWuPkuYW0CW3E,2026-08-25T15:16:00,upi,False,74200,0,0,74200,captured,,,0
pay_lyYrVLaO2ZeqXw,order_91MJzp3slAqhRC,2026-08-29T14:13:00,upi,False,1388600,0,0,1388600,captured,setl_UGhpzAOBoqIOI8,,0
pay_lzlmbAoha3vZCL,order_wlvnShsYlDD6C2,2026-08-02T18:41:00,wallet,False,8400,168,30,8202,captured,setl_gsBLODUaoyqVTL,,0
pay_m3qz9UB8AnF8cR,order_1s2AbMMgxbPjou,,wallet,False,34700,0,0,0,failed,,,0
pay_mJh2Db48vUTv6x,order_MYJmaF38JDnmZa,2026-08-05T21:40:00,upi,False,64600,0,0,64600,captured,setl_0NMkmxBhytQzNW,,0
pay_mTBEjJRU8WjZZf,order_3aJ5nZSETLh7vJ,2026-08-12T12:08:00,wallet,False,14328,287,52,13989,captured,setl_Wr0YEsVUFtaozU,,0
pay_mTPZCw5it3ibhq,order_W3FhDFJe7sC6bT,2026-08-08T09:27:00,upi,False,28500,0,0,28500,captured,setl_Y3MfcCpw08Rkx3,,0
pay_n9djdxgiqhrOxz,order_6OBZZH67alDVCO,2026-08-25T16:23:00,upi,False,1474100,0,0,1474100,captured,setl_z4HZt6gN7jgb96,,0
pay_nPziHMJbwJlF1r,order_pSX77sen2IqPvC,2026-08-05T10:03:00,upi,False,80400,0,0,80400,captured,setl_0NMkmxBhytQzNW,,0
pay_o2s6nVJFzQbiRJ,order_nXceyclaCCW9nf,2026-08-23T20:10:00,card,False,455300,9106,1639,444555,captured,setl_obuThoBpZlMaHQ,,0
pay_oS4SdB3zwTvHMj,order_oPrJKhJtV78TRJ,2026-08-10T12:27:00,rupay_debit,False,34600,0,0,34600,captured,setl_LnV4y2jS2ZtS2k,,0
pay_ofbQ8faCAOuyyf,order_zCLQAjrYs78HFx,2026-08-18T18:07:00,wallet,False,503300,10066,1812,491422,captured,setl_HXSoIA72aYpe6t,,0
pay_p6VpwrX3ypDiFQ,order_7Ol5Pmv7pT5Kmf,2026-08-24T16:01:00,upi,False,19500,0,0,0,authorized,,,0
pay_pPkklYcHa9Ujpt,order_6rKsBLDudk5SMN,2026-08-29T21:50:00,netbanking,False,2634300,50052,9009,2575239,captured,setl_MEc05xqAuGiQ5o,,0
pay_pPwUKS8Ey4ZqlY,order_Z3h8owAMhYBK2y,2026-08-21T16:13:00,upi,False,426800,0,0,426800,captured,setl_WUE94O6DcYLRgr,rfnd_WYEYrC2NtZEO3B,106700
pay_pY2Bn6uEtzsTtX,order_fMNCPZjTDXY94v,2026-08-06T15:53:00,upi,False,208200,0,0,208200,captured,setl_EdZ7XptdbRQNPS,,0
pay_paC6dhR2lu4lOD,order_626rD3AWzShYn3,2026-08-19T10:26:00,netbanking,False,4912200,93332,16800,4802068,captured,setl_ajnwbMTAKX6GYx,,0
pay_poRQH2Hwscs0Hz,order_9SQh4m7fP6xDgM,2026-08-26T12:10:00,netbanking,False,258000,4902,882,252216,captured,setl_M7gkeAcMBxTMW0,,0
pay_py1yDrCH6GH7QY,order_3JoTfCxJZnTS2Z,2026-08-03T21:59:00,upi,False,341600,0,0,341600,captured,setl_UxHInzNavkQObD,,0
