order_id,order_date,customer_id,gross_paise,currency,intended_method,status,invoice_no
order_ZJxqN9Zy8nHMsU,2026-08-19,cust_U7wSG8XusGsZ,31743,INR,upi,paid,INV-2026-000113
order_ZQ3VrVBFQcpbWY,2026-08-24,cust_7sMjR9X0QGiL,13050,INR,upi,paid,INV-2026-000148
order_ZSqTCGizviCNui,2026-08-17,cust_AjtXI7LwpSzL,186800,INR,wallet,paid,INV-2026-000097
order_ZV6gJ2CNWddaV7,2026-08-23,cust_cvbsXckeATiI,3127200,INR,netbanking,paid,INV-2026-000140
order_Zd5IG5RunU55IQ,2026-08-03,cust_RsJqBa5akwMm,141500,INR,upi,paid,INV-2026-000005
order_aSwrKVNbVnxxGj,2026-08-05,cust_hgbkq4gHVAcj,203700,INR,rupay_debit,paid,INV-2026-000016
order_aWOnGSIZh3gHRz,2026-08-24,cust_KuMbdRxuWimd,37100,INR,upi,paid,INV-2026-000149
order_aoGSE4IqNs7eSp,2026-08-17,cust_5k4SFc1PQVg4,219100,INR,upi,paid,INV-2026-000095
order_b4mmiQl6Qkb5hI,2026-08-24,cust_7NitmmuTHuHd,34800,INR,upi,paid,INV-2026-000150
order_bHIp14UTELz23t,2026-08-22,cust_Uj73kKqyFKoJ,6453880,INR,card,paid,INV-2026-000137
order_bV7RzjKzYgWpKE,2026-08-31,cust_BJS21Ut2qoIT,445096,INR,wallet,paid,INV-2026-000195
order_c0dDAaTfSBXWyN,2026-08-28,cust_FXaYjzaCNy5R,652600,INR,card,payment_failed,INV-2026-000178
order_c5nlYchGxukvQ7,2026-08-08,cust_ysmFcKjRZaiN,104600,INR,rupay_debit,paid,INV-2026-000043
order_cS11sXdnltMzd3,2026-08-22,cust_XQ3pnGlgdg83,6196600,INR,card,paid,INV-2026-000134
order_cT9azaSBRr0Tyz,2026-08-05,cust_Vkg47YFgrIgd,10700,INR,wallet,paid,INV-2026-000015
order_eZNfjSGwFyRG4B,2026-08-29,cust_IWV60MmnD1yv,267300,INR,rupay_debit,paid,INV-2026-000190
order_ehllMRmgtm6Dng,2026-08-23,cust_aBQOkJbWMSxB,244400,INR,upi,paid,INV-2026-000144
order_ei3lWmOwizdp5Q,2026-08-11,cust_YjfKjm64nDVk,898500,INR,upi,payment_failed,INV-2026-000065
order_fCAo0bjuHBibOb,2026-08-12,cust_8bCxViMpMrsw,159660,INR,upi,paid,INV-2026-000072
order_fMNCPZjTDXY94v,2026-08-06,cust_RrV4P4ZiMAgr,208200,INR,upi,paid,INV-2026-000025
order_gmsfub6apa2Csm,2026-08-19,cust_YrsZmJEd9MPU,14200,INR,upi,paid,INV-2026-000120
order_gwIIlRw6BzWam3,2026-08-20,cust_67apGJFhjMMV,45000,INR,upi,paid,INV-2026-000121
order_hBsWH2UWlQmFvB,2026-08-11,cust_os8dUBjkjSw4,3384400,USD,card,paid,INV-2026-000067
order_hM6qkS6mBBGwaY,2026-08-25,cust_sLQ5YeTJNeB3,217800,INR,upi,paid,INV-2026-000163
order_heq22sDB9RhO3y,2026-08-31,cust_QKrwZnydEO4f,2375800,INR,netbanking,paid,INV-2026-000200
order_i2IdelaRhgYObv,2026-08-08,cust_ppOUXCKetQ3q,166400,INR,upi,paid,INV-2026-000053
order_ibkTpOkCkaRQE8,2026-08-10,cust_Pv5vsddrGWlR,157500,INR,upi,paid,INV-2026-000060
order_imU90srrqGkY8W,2026-08-23,cust_FEsQJECfoFop,964419,INR,card,paid,INV-2026-000143
order_ioMBR6yhwtH0n6,2026-08-06,cust_eZw0irEz3ClO,163810,INR,upi,paid,INV-2026-000026
order_j1NkXKCDWwL2JK,2026-08-09,cust_DYZmwl2qlAqj,715200,INR,card,paid,INV-2026-000054
order_j9EzIMaw9ZXRcS,2026-08-05,cust_3boGJJLwlo7X,1559695,INR,card,paid,INV-2026-000012
order_jPTrwtvPLkXS1x,2026-08-07,cust_KqI807yyhlXT,58900,INR,upi,paid,INV-2026-000037
order_kBBJAiFmGYFZY8,2026-08-07,cust_nD0adlpz9YQZ,103400,INR,rupay_debit,paid,INV-2026-000041
order_kHmElSjS7fuO45,2026-08-25,cust_y7qgRSEKDwSl,39148,INR,rupay_debit,paid,INV-2026-000161
order_kKUchIh7nI6OfV,2026-08-18,cust_KiMJr8NvNFX2,293927,INR,upi,paid,INV-2026-000108
order_knUaAn1UYHGG51,2026-08-04,cust_29mNXYcX6sZQ,7453300,INR,netbanking,paid,INV-2026-000011
order_l4oOBOX8wrorqf,2026-08-13,cust_orHp5dC6TpC2,200300,INR,upi,paid,INV-2026-000080
order_l7kUNfYAQh9Cct,2026-08-21,cust_LnZLdSIiow91,48600,INR,upi,paid,INV-2026-000129
order_lCOJnNHc5QZfGT,2026-08-06,cust_KdVmH8UuH0Ak,309400,INR,upi,paid,INV-2026-000024
order_lIZZVAD4vOoQNu,2026-08-12,cust_5cgovydiSgcg,210200,INR,card,paid,INV-2026-000075
order_lljJEcRJ6vxPU6,2026-08-22,cust_gKXOoGc4SQS0,210200,INR,card,payment_failed,INV-2026-000132
order_lmx0cBewZg96UF,2026-08-16,cust_91PS3z6bJsbz,143200,INR,card,paid,INV-2026-000086
order_lp4KX5Yq8fjQ1V,2026-08-17,cust_7SLNYKk28YUL,211100,INR,upi,paid,INV-2026-000090
order_ly9KEIH6f2CTob,2026-08-08,cust_FcfULz90c1bk,68000,INR,upi,paid,INV-2026-000050
order_mLtnABLgfK7Sce,2026-08-18,cust_01DI7DyU4neG,73700,INR,upi,paid,INV-2026-000111
order_mNQsj2HovwVrfQ,2026-08-22,cust_StcMDjYm5WiO,176700,INR,upi,paid,INV-2026-000135
order_md2JtxyGF7ib7t,2026-08-07,cust_nzjOqCv6lBQl,26500,INR,upi,paid,INV-2026-000039
order_mphMmZZKWyUdPR,2026-08-06,cust_UHoWAH8aVh4C,205300,INR,netbanking,paid,INV-2026-000033
order_nXceyclaCCW9nf,2026-08-23,cust_G7Saw5wSydrR,455300,INR,card,paid,INV-2026-000138
order_nejPF99vlwvY3O,2026-08-16,cust_bSNthIs2S9k4,275883,INR,upi,paid,INV-2026-000088
order_nw0jToLzvdzvoC,2026-08-18,cust_Dgj6JeM54Nd8,69383,INR,upi,paid,INV-2026-000112
order_o8rbzfuh13ZuI7,2026-08-08,cust_MKRymkpOjN9T,13804400,USD,card,paid,INV-2026-000044
order_o9tgLqCHTDI5Gt,2026-08-06,cust_VmWhkkq8tPLb,239000,INR,upi,paid,INV-2026-000034
order_oBDH7jHUMYp6H8,2026-08-31,cust_SjpItz9ljppW,297200,INR,upi,paid,INV-2026-000196
order_oI4rUrLYWiYCPe,2026-08-20,cust_eD9BvM6BY4Wd,159500,INR,upi,paid,INV-2026-000125
order_oPrJKhJtV78TRJ,2026-08-10,cust_CGJdTl3ShCDV,34600,INR,rupay_debit,paid,INV-2026-000061
order_pSX77sen2IqPvC,2026-08-05,cust_3NGuvmq6vOth,80400,INR,upi,paid,INV-2026-000013
order_pUjDB4iY8FNmCn,2026-08-08,cust_7NZJX6B3iuVX,69000,INR,upi,paid,INV-2026-000046
order_pdsBX4U9vlQEo3,2026-08-08,cust_eF3c869kuUNT,61100,INR,upi,pending,INV-2026-000052
order_pylzh1AeXHNMOQ,2026-08-24,cust_Ke5lAYNDTvke,763300,INR,upi,paid,INV-2026-000152
order_q3PZwMq2es140z,2026-08-06,cust_9842PbnLxZ2a,443100,INR,rupay_debit,paid,INV-2026-000029
order_qKRjcZaxGF04pT,2026-08-29,cust_sWxr8AuzpAVg,455600,INR,card,paid,INV-2026-000184
order_qQElfcAg1zPw0z,2026-08-06,cust_QPTDVbxSHsOq,933800,INR,upi,paid,INV-2026-000022
order_qdCw1LrSlLql57,2026-08-28,cust_m4S0h6rVSfS1,231100,INR,netbanking,paid,INV-2026-000173
order_rAaWKbPztNTCuy,2026-08-28,cust_SOjP4SqQ3zLW,249400,INR,wallet,paid,INV-2026-000172
order_s5h1wAFJTXrHpw,2026-08-11,cust_bw2QHsCRr5Y2,168164,INR,card,paid,INV-2026-000069
order_s8J5Uz69qLAjON,2026-08-29,cust_v0S4ICjLG94e,12000,INR,upi,paid,INV-2026-000191
order_sHDJV9x32pm7gC,2026-08-07,cust_80fWRs1oJKUr,85100,INR,upi,paid,INV-2026-000040
order_t7sBn9fP4sNo3Y,2026-08-28,cust_QQ82odbsQRyu,378300,INR,rupay_debit,paid,INV-2026-000176
order_tDRXgfSzbvZnaC,2026-08-31,cust_4ZvyjzOrASeL,633500,INR,card,paid,INV-2026-000198
order_tTf2qLlvmcNXt2,2026-08-09,cust_rDuzlv6MidAO,2707700,INR,card,paid,INV-2026-000057
order_tVzPhZGrkCC4DK,2026-08-23,cust_uJ8Vi6LFz9Yo,222900,INR,card,paid,INV-2026-000141
order_tweYn86FpuaWp1,2026-08-26,cust_DJkYrj17X25F,1092000,INR,upi,paid,INV-2026-000168
order_u7afFO5XumZZJE,2026-08-22,cust_zAmrEohV2Ub6,1956000,INR,netbanking,paid,INV-2026-000131
order_uOxeMjBoF5iDDT,2026-08-20,cust_bSmCS5q3bzJQ,46800,INR,wallet,paid,INV-2026-000124
order_vHjaJ2TmDBWcib,2026-08-14,cust_zinkinGlR6IZ,170900,INR,upi,payment_failed,INV-2026-000082
order_vYzr3dmKCqiac9,2026-08-06,cust_YhXYXCi1k1UE,756500,INR,card,paid,INV-2026-000027
order_vsF5S7BpNWWHcN,2026-08-05,cust_EuP2TfbN47r8,9200,INR,wallet,payment_failed,INV-2026-000017
order_wK5U09LGu7441H,2026-08-22,cust_lJHuCKr6O7sQ,654300,INR,card,paid,INV-2026-000136
order_wlvnShsYlDD6C2,2026-08-02,cust_irtV5pUlEvwu,8400,INR,wallet,paid,INV-2026-000003
order_x7aTvi2rEinRAt,2026-08-16,cust_WWfovSmjgHUr,6799,INR,wallet,paid,INV-2026-000085
order_xJYjRtA8opOn3g,2026-08-02,cust_qcGYMcdIsxl2,54800,INR,upi,paid,INV-2026-000001
order_xWa43S5gciB66y,2026-08-19,cust_3UvRYAtcf0Sh,63300,INR,upi,paid,INV-2026-000118
order_xlXktOPlxUftVO,2026-08-19,cust_i9tsJUBqqLOS,4027250,INR,card,paid,INV-2026-000117
order_xq5oPo9ZFFDEj0,2026-08-26,cust_JIxo6VjWTNwu,212600,INR,netbanking,payment_failed,INV-2026-000164
order_xqdpq16gxQNbdp,2026-08-17,cust_2n0cjtBshExh,52900,INR,upi,paid,INV-2026-000092
order_xv3jcuHAgCoxSy,2026-08-11,cust_23Hv7gp4026I,152800,INR,upi,paid,INV-2026-000068
order_z2IJ3Oezo6COuL,2026-08-25,cust_gG0WaByUQqlp,53800,INR,upi,paid,INV-2026-000156
order_z8PRYFhS0WtYXP,2026-08-17,cust_fokq3gB2iiGu,6302200,INR,netbanking,payment_failed,INV-2026-000098
order_zAROArxGV2LVA1,2026-08-18,cust_GKv9QfktmSKb,56300,INR,upi,paid,INV-2026-000103
order_zCLQAjrYs78HFx,2026-08-18,cust_8YXWoOiIet4t,503300,INR,wallet,paid,INV-2026-000105
order_zJL4phMxFmTrEg,2026-08-24,cust_geuTGGUDOVCN,5056100,INR,card,paid,INV-2026-000154
order_zPM4dBlHMho9rj,2026-08-12,cust_It9KsMyyTCGJ,47700,INR,upi,paid,INV-2026-000070
order_zVS02LL5NWHJbW,2026-08-18,cust_HaOPeqorOlrD,828400,INR,card,paid,INV-2026-000109
order_zlD09CwBbCvm6M,2026-08-31,cust_Sfa2LvuTXTXg,25570,INR,upi,paid,INV-2026-000197
